# Speed Limit System Log
# Format: [TIMESTAMP] SPEED(km/h) | TYPE | HAZARDS | MODELS | REASONING | REUSED
# ================================================================================

[2025-11-25 23:24:53] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 09:31:03]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:32:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:33:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:34:03]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 09:35:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:36:03]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 09:37:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:38:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:39:02] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:40:02] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:41:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:42:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:43:02]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:44:02]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 09:45:02] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:46:03] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:47:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:48:03]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:60        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 09:49:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:50:03] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:51:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:52:02]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:53:02]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:54:02] 110 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:110               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:55:02] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:56:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:57:02] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:57:50] 110 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:110               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 09:57:50] 110 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:110               | Neural network model contributed; Weather conditions detected; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 09:58:36]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:60        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 09:59:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 09:59:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:00:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:00:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:01:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:01:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:02:06]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:100, LLM:60       | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 10:02:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:03:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:03:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:04:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:04:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:05:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:05:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:06:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:06:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:07:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:07:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:08:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:08:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:09:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:09:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:10:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:10:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:11:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:11:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:12:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:12:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:13:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:13:21] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:13:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:14:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:14:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:15:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:15:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:16:06]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:100, LLM:50       | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 10:16:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:17:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:17:36] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:18:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:18:36]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:100, LLM:50       | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 10:19:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:19:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:20:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:20:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:21:06]  60 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:60               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 10:22:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:23:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:24:03] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:25:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:26:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:27:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:28:03]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 10:29:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:30:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:31:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:32:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:33:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:33:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed; (Result reused from cache due to throttling) | [REUSED]
[2025-11-29 10:33:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:34:06] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:34:36] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:35:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:35:36]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:36:06] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:37:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:38:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:39:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:40:02]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 10:41:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:42:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:43:02] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:44:03] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:45:02]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:49:15]  50 km/h | LLM_ONLY   | Hazards: Air             | Models: LLM:50               | LLM service contributed; Poor air quality detected | [NEW]
[2025-11-29 10:49:45] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:50:15] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:50:45] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:51:15] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:51:45]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:52:15] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:52:46] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:53:46] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:54:46] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 10:55:46] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:56:46]  50 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:90, LLM:50        | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 10:57:53]  60 km/h | COMBINED   | Hazards: Weather, Air    | Models: NN:100, LLM:60       | Both NN and LLM models contributed; Weather conditions detected; Poor air quality detected | [NEW]
[2025-11-29 10:58:15] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:58:45] 100 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:100               | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:59:15]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 10:59:45] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 11:00:15]  90 km/h | NN_ONLY    | Hazards: Weather         | Models: NN:90                | Neural network model contributed; Weather conditions detected | [NEW]
[2025-11-29 11:00:45] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 11:01:15] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 11:01:46] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 11:02:46] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 11:03:46] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
[2025-11-29 11:04:35] 130 km/h | DEFAULT    | Hazards: None            | Models: None                 | Normal conditions, no model outputs needed | [NEW]
